dt_coarse,dt_medium,dt_fine,refinement_ratio,p_observed,phi_extrapolated,y_ref_end,abs_error_extrapolated
0.02,0.01,0.005,2.0,1.0000043828465996,1.3607997894294352,1.3607999999999993,2.1057056409645725e-07
0.01,0.005,0.0025,2.0,0.9999824686934908,1.3608003854809532,1.3607999999999993,3.8548095382395786e-07
