case,threads,runtime_s,speedup,efficiency
part10_n200,1,0.02229766299979019,1.0,1.0
part10_n200,6,0.01525439000033657,1.4617210520576842,0.24362017534294736
part10_n200,8,0.02433608599994841,0.916238667131496,0.114529833391437
part10_n1000,1,0.27157394400001067,1.0,1.0
part10_n1000,6,0.10910078400002021,2.4892024973895728,0.41486708289826213
part10_n1000,8,0.11319824299971515,2.3991003464664558,0.29988754330830697
part10_n5000,1,1.1955390160001116,1.0,1.0
part10_n5000,6,0.676319197000339,1.7677141522858655,0.29461902538097756
part10_n5000,8,0.7822243379996507,1.5283838125740412,0.19104797657175515
