nparticles,all_pairs_total_runtime_s,cell_total_runtime_s,total_speedup_cell_vs_allpairs,all_pairs_contact_runtime_s,cell_contact_runtime_s,contact_speedup_cell_vs_allpairs,all_pairs_candidates_total,cell_candidates_total,candidate_reduction_pct,candidate_reduction_factor,all_pairs_contacts_detected,cell_contacts_detected,contacts_match,all_pairs_candidates_per_step,cell_candidates_per_step
200,0.022627124999416992,0.19318741699953534,0.1171252525182394,0.021227218013336824,0.19140197601063846,0.1109038603246028,3980000.0,49400.0,98.75879396984925,80.56680161943319,0.0,0.0,yes,19900.0,247.0
1000,0.5019379040004424,0.2229598559997612,2.251247883838694,0.49547154199535726,0.21639581799354346,2.289653961843849,99900000.0,972801.0,99.02622522522523,102.6931510144418,63224.0,63224.0,yes,499500.0,4864.005
5000,12.536181599999509,0.3838757719995556,32.656871088009225,12.506147243996566,0.3554417139994257,35.1848045725347,2499500000.0,5447337.0,99.78206293258651,458.8480573168137,78880.0,78880.0,yes,12497500.0,27236.685
