case,threads,repeat,total_runtime_s,initialize_s,gravity_s,particle_contacts_s,wall_contacts_s,integration_s,output_s
part10_n5000,1,1,1.0739863989997502,6.5274400003545452E-004,1.1982800106125069E-004,1.0712874280002325,6.5127499874506611E-004,1.2600339991877263E-003,0.0000000000000000
part10_n5000,1,2,1.0416235289999349,6.3541500048813759E-004,1.2779599956047605E-004,1.0388945649997368,6.1583500109918532E-004,1.3202780000938219E-003,0.0000000000000000
part10_n5000,1,3,1.1955390160001116,6.5637600027912413E-004,2.4756499942668597E-004,1.1923844319990167,7.8944799952296307E-004,1.4446029995269782E-003,0.0000000000000000
part10_n5000,1,4,1.5586980889997903,7.4812899902099161E-004,1.2861500181315932E-004,1.5550002960003440,1.0729600003287487E-003,1.7262180008401629E-003,0.0000000000000000
part10_n5000,1,5,1.3571183049998581,6.8770699954256997E-004,1.0933099838439375E-004,1.3539868480006589,8.3132000054320088E-004,1.4847730003566539E-003,0.0000000000000000
part10_n5000,6,1,0.73810114599973531,8.3888299786849529E-004,6.2950000165074016E-004,0.73402408800029662,1.8633939994288085E-003,7.2814800023479620E-004,0.0000000000000000
part10_n5000,6,2,0.66695718799974202,6.4203100100712618E-004,9.0564499896572670E-004,0.66376256899957298,1.0096199998770317E-003,6.2133400160746532E-004,0.0000000000000000
part10_n5000,6,3,0.67494330699992133,6.5616299934845301E-004,4.8807899929670384E-004,0.67268324399947232,3.9683700015302747E-004,7.0404899952336564E-004,0.0000000000000000
part10_n5000,6,4,0.67966824899986023,8.0323100155510474E-004,5.8246500020686653E-004,0.64157032299954153,2.2079931000007491E-002,1.4614982999319182E-002,0.0000000000000000
part10_n5000,6,5,0.67631919700033905,6.3700200053062872E-004,6.0741400011465885E-004,0.67385704399657698,3.9762799860909581E-004,7.9742700108909048E-004,0.0000000000000000
part10_n5000,8,1,0.78222433799965074,6.7986200019731768E-004,5.1067799990960339E-003,0.73341873699973803,2.6883415998781857E-002,1.6109853001125884E-002,0.0000000000000000
part10_n5000,8,2,0.57504730799973913,7.6670199950967799E-004,2.1400720002020535E-003,0.57022134699900562,5.8417600030225003E-004,1.3162240002202452E-003,0.0000000000000000
part10_n5000,8,3,0.68966016600006697,6.0841899994557025E-004,2.9492859980564390E-003,0.67445371400026488,6.2245819995041529E-003,5.4013899994060921E-003,0.0000000000000000
part10_n5000,8,4,1.0823284819998662,6.1023499938528403E-004,4.8034279000148672E-002,0.87991504999945391,6.0146026999063906E-002,9.3591168999864749E-002,0.0000000000000000
part10_n5000,8,5,0.81296107900016068,8.3548700240498874E-004,3.3534560006955871E-003,0.76798219499869447,1.0901405000822706E-002,2.9752661998827534E-002,0.0000000000000000
