case,nparticles,threads,runtime_s,speedup_total,efficiency_total,contact_runtime_s,speedup_contact,efficiency_contact,candidates_total,contacts_total
part10_n30000,30000,1,42.307465690999834,1.0,1.0,42.29172416000074,1.0,1.0,8999700000.0,0.0
part10_n30000,30000,6,18.73233942800016,2.2585254689417362,0.3764209114902894,18.72501830299916,2.258567840931132,0.376427973488522,8999700000.0,0.0
part10_n30000,30000,8,17.52613066699996,2.4139649814810964,0.30174562268513705,17.51543679199858,2.4145400804004207,0.3018175100500526,8999700000.0,0.0
