threads,nparticles,runtime_s,normalized_runtime,weak_efficiency_total,contact_runtime_s,weak_efficiency_contact,candidates_total,contacts_total
1,500,0.01578883899946959,1.0,1.0,0.01528207999854203,1.0,2495000.0,0.0
6,3000,0.32334543199976906,20.479367229638072,0.04882963368871983,0.320209040998634,0.04772532327907388,89970000.0,0.0
8,4000,0.397195673999704,25.156737237807505,0.039750782883605514,0.3916414380000788,0.03902059004935774,159960000.0,0.0
