dt,nsteps,rmse_y,max_abs_y,rmse_vy,max_abs_vy,max_rel_energy_drift
0.02,40,0.046159162855699,0.07847997741699153,1.0126193683117684e-07,2.15148926230313e-07,0.017011422155276963
0.01,80,0.022867512456388822,0.03923997478485042,1.0205374089917304e-07,2.365112301561112e-07,0.00861195206331256
0.005,160,0.011380717827215251,0.019620033073424636,1.0312761737514346e-07,2.365112301561112e-07,0.004332896675641817
0.0025,320,0.005677055141514748,0.009809943008422195,1.0270190287709469e-07,2.365112301561112e-07,0.0021732379421813743
0.001,800,0.0022676354528074648,0.003923984336852371,1.0335043549066003e-07,2.381896964109842e-07,0.0008708490715035062
