case,threads,nparticles,domain_x,domain_y,repeat,total_runtime_s,particle_contacts_s,contact_candidates_total,contacts_detected_total
weak_scaling,1,500,21.21320344,21.21320344,1,1.2309384999753092E-002,1.2018861999422370E-002,2495000,0
weak_scaling,1,500,21.21320344,21.21320344,2,1.6841286999806471E-002,1.6449656996883277E-002,2495000,0
weak_scaling,1,500,21.21320344,21.21320344,3,1.9879694999872299E-002,1.9311794000714144E-002,2495000,0
weak_scaling,1,500,21.21320344,21.21320344,4,1.4623043999563379E-002,1.4232236997486325E-002,2495000,0
weak_scaling,1,500,21.21320344,21.21320344,5,1.5788838999469590E-002,1.5282079998542031E-002,2495000,0
weak_scaling,6,3000,51.96152423,51.96152423,1,0.40524954000011348,0.39661900899955072,89970000,0
weak_scaling,6,3000,51.96152423,51.96152423,2,0.32334543199976906,0.32020904099863401,89970000,0
weak_scaling,6,3000,51.96152423,51.96152423,3,0.34080691400049545,0.33649126900036208,89970000,0
weak_scaling,6,3000,51.96152423,51.96152423,4,0.29160288599996420,0.28949296399787272,89970000,0
weak_scaling,6,3000,51.96152423,51.96152423,5,0.29362890599986713,0.28888258199822303,89970000,0
weak_scaling,8,4000,60.00000000,60.00000000,1,0.52828653899996425,0.51632601999881444,159960000,0
weak_scaling,8,4000,60.00000000,60.00000000,2,0.52450805100033904,0.49969378200057690,159960000,0
weak_scaling,8,4000,60.00000000,60.00000000,3,0.39719567399970401,0.39164143800007878,159960000,0
weak_scaling,8,4000,60.00000000,60.00000000,4,0.35562785000001895,0.35170367699811322,159960000,0
weak_scaling,8,4000,60.00000000,60.00000000,5,0.38415210000039224,0.38097541400384216,159960000,0
