case,nparticles,threads,repeat,total_runtime_s,particle_contacts_s,contact_candidates_total,contacts_detected_total
part10_n30000,30000,1,1,42.445442516000185,42.429224422000061,8999700000,0
part10_n30000,30000,1,2,41.518995385999915,41.502775252999982,8999700000,0
part10_n30000,30000,1,3,46.458326696000313,46.439228311000079,8999700000,0
part10_n30000,30000,1,4,40.996476218999760,40.980828838000889,8999700000,0
part10_n30000,30000,1,5,42.307465690999834,42.291724160000740,8999700000,0
part10_n30000,30000,6,1,18.448621697999442,18.441745380001521,8999700000,0
part10_n30000,30000,6,2,18.732339428000159,18.725018302999160,8999700000,0
part10_n30000,30000,6,3,18.881167493000248,18.873171545000332,8999700000,0
part10_n30000,30000,6,4,18.532766278000054,18.525017333998221,8999700000,0
part10_n30000,30000,6,5,19.994657329000802,19.986371123999561,8999700000,0
part10_n30000,30000,8,1,18.822015027999441,18.810016295000423,8999700000,0
part10_n30000,30000,8,2,16.988216405999992,16.973305905001325,8999700000,0
part10_n30000,30000,8,3,17.526130666999961,17.515436791998582,8999700000,0
part10_n30000,30000,8,4,17.519789504000073,17.511053658001401,8999700000,0
part10_n30000,30000,8,5,18.292061456000738,18.283956281997234,8999700000,0
