case,threads,total_runtime_s,initialize_s,gravity_s,particle_contacts_s,wall_contacts_s,integration_s,output_s
part10_n200,1,0.02229766299979019,0.00015233999829433742,0.00011949400322919246,0.020838147005179053,0.0003679169985844055,0.0007639460000063991,0.0
part10_n200,6,0.01525439000033657,0.0001407959971402306,0.0008350239991159469,0.012717680999685399,0.0005385550061873801,0.0009111090053011139,0.0
part10_n200,8,0.02433608599994841,0.00017304899802184082,0.0038477239968415233,0.015199239000139642,0.0020060699998794007,0.002310441003373853,0.0
part10_n1000,1,0.27157394400001067,0.000799632002326689,0.0001536749991828401,0.26776769799835165,0.0008739019999666198,0.0016911060024540348,0.0
part10_n1000,6,0.10910078400002021,0.0007410819989672746,0.0007172889968387608,0.1064714789995378,0.0003817109986812284,0.0007401290017696738,0.0
part10_n1000,8,0.11319824299971515,0.0007920410007500323,0.0010590979977678217,0.10988277000205926,0.00044430899833969306,0.0008161289997588028,0.0
part10_n5000,1,1.1955390160001116,0.0006563760002791241,0.00012779599956047605,1.1923844319990167,0.0007894479995229631,0.0014446029995269782,0.0
part10_n5000,6,0.676319197000339,0.000656162999348453,0.0006074140001146588,0.6726832439994723,0.0010096199998770317,0.0007281480002347962,0.0
part10_n5000,8,0.7822243379996507,0.0006798620001973177,0.003353456000695587,0.733418736999738,0.010901405000822706,0.016109853001125884,0.0
