case,threads,nparticles,domain_x,domain_y,total_runtime_s,particle_contacts_s,contact_candidates_total,contacts_detected_total
weak_scaling,1,500,21.21320344,21.21320344,0.01578883899946959,0.01528207999854203,2495000.0,0.0
weak_scaling,6,3000,51.96152423,51.96152423,0.32334543199976906,0.320209040998634,89970000.0,0.0
weak_scaling,8,4000,60.00000000,60.00000000,0.397195673999704,0.3916414380000788,159960000.0,0.0
